,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tulp2,-8.316616104,-1.850322397,-14.11724467,6.16E-06,0.080032237,0.969977821
Vmn1r51,2.310208787,2.427294982,7.728848302,0.000212421,0.378321607,-0.089860521
Tnfsf14,1.701172037,3.974493169,6.492519748,0.000562262,0.46971212,-0.550537891
Tcf23,6.042628081,-1.108384011,5.809820766,0.001026194,0.507668531,-0.876205406
AA517631,2.758222434,0.902962156,3.549857159,0.01148145,0.507668531,-2.47741319
Scn7a,-1.742539088,4.142152451,-3.02585662,0.022369652,0.507668531,-2.987361561
Fshb,4.128286285,0.310525349,2.887099392,0.026867724,0.507668531,-3.130916234
Pttg1,1.879822535,8.418100543,2.673759733,0.035783427,0.507668531,-3.357710151
Cabp7,-3.746163105,3.034300524,-2.528323233,0.043635484,0.509601926,-3.515987006
Omt2a,4.921256189,-5.333617715,2.469745921,0.047294192,0.512077865,-3.580443032
Ugt2b37,6.197431952,-1.724408351,2.461809209,0.047814157,0.513853876,-3.589203993
