,logFC,AveExpr,t,P.Value,adj.P.Val,B
Gpnmb,4.104346136,8.182987789,41.65828727,8.48E-09,0.000110229,8.221513173
Clec7a,2.781101512,6.670758117,32.9612888,3.58E-08,0.000206274,7.757115979
Ddx3y,-6.227890464,7.272046461,-31.46116649,4.76E-08,0.000206274,7.645449025
Ptx3,2.138434738,6.575013864,26.97603616,1.22E-07,0.000397266,7.226915497
Cst7,5.733623542,4.210189637,24.23207858,2.36E-07,0.000612768,6.887978258
Tyrobp,1.955968928,9.104022405,17.53928536,1.69E-06,0.0033859,5.631434627
Lyz2,2.176893029,9.203476707,16.39270764,2.54E-06,0.0033859,5.326379579
Lgals3,2.932232143,8.898504991,16.29425286,2.64E-06,0.0033859,5.298547354
Xist,15.89456336,1.295670614,16.2661422,2.67E-06,0.0033859,5.290550702
Lyz1,2.312920105,8.91490409,15.98147491,2.97E-06,0.0033859,5.20829746
Mpeg1,2.082280381,8.296699023,15.84302275,3.13E-06,0.0033859,5.16743845
Cd68,2.095380967,7.455844255,14.13492646,6.22E-06,0.004752566,4.612990109
Ccl3,2.245357583,9.16831121,13.232445,9.24E-06,0.006316537,4.277634887
C1qa,1.552788415,9.963566779,12.91358501,1.07E-05,0.006888442,4.151181595
Fcgr3,1.530564018,7.415060501,12.82562753,1.11E-05,0.006888442,4.115522826
Lpl,1.666810199,6.920617121,12.11959587,1.56E-05,0.008448573,3.816475266
Mmp12,1.952044428,3.823083289,11.68951042,1.93E-05,0.008825889,3.622469685
Cd52,2.093802891,7.062975822,11.48503169,2.15E-05,0.009133581,3.526881289
C1qc,1.728447033,9.417312961,10.88336349,2.95E-05,0.010119079,3.232308853
Ccl6,1.50033959,6.549161401,10.67289446,3.31E-05,0.010119079,3.12433158
C1qb,1.512097267,9.229263786,9.968062681,4.95E-05,0.013611726,2.742621222
Serpina3n,1.585189938,8.874546267,9.565928652,6.30E-05,0.016038765,2.509982215
Socs3,1.578100283,6.387549496,8.786463734,0.000103065,0.019967895,2.0250707
Timp1,1.716395036,6.702874259,8.637819311,0.000113714,0.02023949,1.927128021
Tbx18,1.59950495,2.967169067,8.197957121,0.000153464,0.023185563,1.626235176
Ccl11,1.652741106,5.366090496,7.831308823,0.000199146,0.027526583,1.362087198
Tnfsf14,1.608554218,3.714804008,6.511687162,0.000557885,0.050113414,0.297942342
Postn,1.617750867,6.166089676,6.300801594,0.000667753,0.054912122,0.109557925
E230006M18Rik,-1.654406634,2.698840113,-5.837246392,0.001008041,0.064882238,-0.324353848
Kdm5d,-4.792887152,4.20716963,-5.790744835,0.001051956,0.064882238,-0.369444196
Eif2s3y,-8.995790149,2.886957827,-5.616535532,0.001236953,0.071113851,-0.540990377
Wif1,2.462365233,3.47681827,3.978501031,0.006891179,0.160309556,-2.372917226
AA517545,1.735780728,0.774973572,3.809127345,0.008414366,0.174220733,-2.586004996
Igsf6,4.216695619,2.117291198,3.796438802,0.008542706,0.174220733,-2.602145425
Ifi202b,1.818652764,3.590565657,3.764862321,0.008871605,0.177447142,-2.642418231
AI594671,-7.091124994,-5.306091862,-2.659976005,0.036530345,0.310789121,-4.134322394
Mpp4,1.713096471,2.716086991,2.611342699,0.039026015,0.319219134,-4.202696302
Tlr1,1.659799279,4.923454946,2.468345026,0.047464688,0.34302901,-4.404201361
Ccl12,2.542517767,3.825622118,2.446685607,0.048901627,0.346367146,-4.434755601
