,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tyrobp,3.221491041,9.561948917,36.76931398,9.04E-09,0.000117433,10.24914069
Ccl3,2.984159433,9.500653833,30.49062047,3.02E-08,0.000169626,9.462943361
Fcer1g,2.542891903,7.992699006,28.32674026,4.86E-08,0.000169626,9.120230638
C1qc,3.18513283,9.716528459,27.70776425,5.60E-08,0.000169626,9.013843813
Ctsd,1.831690313,11.27583501,26.76377786,7.00E-08,0.000169626,8.843743936
Mpeg1,3.446099916,8.644528633,26.17431971,8.08E-08,0.000169626,8.732444574
Gpnmb,5.373739048,8.961730643,25.26348542,1.01E-07,0.000169626,8.552274565
Pycard,1.934842667,6.55819608,25.13041859,1.05E-07,0.000169626,8.525083855
Cd53,2.259206519,7.445700173,23.77683134,1.50E-07,0.000169626,8.235062962
Ctsz,2.48972169,9.526909198,23.55481839,1.59E-07,0.000169626,8.185048015
Cd48,2.325826587,5.60047761,23.52587174,1.60E-07,0.000169626,8.17847385
Lgals3,4.251255627,9.885555339,23.27298527,1.72E-07,0.000169626,8.120511829
Ctss,2.132062976,10.6188178,23.08893268,1.81E-07,0.000169626,8.077722836
Hexb,2.025185603,10.55536662,22.98483859,1.86E-07,0.000169626,8.053294125
Grn,2.040346772,10.75178189,22.35460894,2.22E-07,0.000169626,7.901770674
Parp3,1.782763407,6.507440805,22.13765123,2.37E-07,0.000169626,7.848130275
Tmem176a,1.836612144,8.482548224,21.83375365,2.59E-07,0.000169626,7.771679035
Itgb2,2.773891385,9.607673667,21.79779461,2.61E-07,0.000169626,7.76252959
Hpgd,2.845812784,8.328576823,21.71678691,2.68E-07,0.000169626,7.741836882
Pdlim4,2.299277012,7.326306759,21.53194889,2.83E-07,0.000169626,7.694197533
Fcgr3,2.651245326,7.649016729,21.49501213,2.86E-07,0.000169626,7.684606282
Lyz2,3.41238276,9.511238236,21.47904145,2.87E-07,0.000169626,7.680451815
Cd34,2.174212166,7.305589414,21.01217312,3.31E-07,0.000179929,7.556997256
Irf8,1.890345629,6.977528206,20.99478707,3.32E-07,0.000179929,7.552323726
Slc15a3,2.814372126,5.538816913,20.71486028,3.62E-07,0.000181253,7.476306967
Fcgr1,1.857257044,7.406158239,20.71004612,3.63E-07,0.000181253,7.474986841
Cyba,2.506141773,7.8876043,19.84814145,4.76E-07,0.000228527,7.231413845
Dhrs1,2.357902435,9.927514221,19.55575623,5.23E-07,0.000228527,7.145403288
Prdx6,1.732042603,10.77078019,19.4926586,5.34E-07,0.000228527,7.126608447
Bcl3,3.320880053,6.652673709,19.34852805,5.60E-07,0.000228527,7.083360519
Serpina3n,3.715310501,9.736315042,19.33376575,5.63E-07,0.000228527,7.078905949
Lum,1.933050434,7.264074665,19.26938338,5.75E-07,0.000228527,7.05942371
Plek,2.196590163,7.478970285,19.24115799,5.80E-07,0.000228527,7.050854514
Osmr,2.299005351,7.787983211,18.89656866,6.51E-07,0.000248922,6.944835233
C1qa,2.608176696,10.27070289,18.80085826,6.73E-07,0.000249772,6.914921135
Pla2g15,1.589489117,6.946066684,18.50386107,7.45E-07,0.000268791,6.82077135
Hacd4,1.685726654,6.173274067,18.10744193,8.55E-07,0.000291284,6.691901885
AU020206,2.238547705,7.390607501,18.10496257,8.56E-07,0.000291284,6.691084098
Cd68,3.802821856,7.750247107,18.04398595,8.74E-07,0.000291284,6.670924789
Clec7a,3.847870495,7.17437821,17.45015149,1.08E-06,0.000351446,6.469785891
A2m,2.280440304,9.631113969,16.80739889,1.37E-06,0.000415042,6.241791186
Cd52,3.556390689,7.83009277,16.71615595,1.42E-06,0.000419883,6.208518369
Siglecf,1.539560412,4.489797133,16.42760006,1.59E-06,0.000458558,6.10175356
Cd9,1.573135588,10.25347597,16.34890614,1.64E-06,0.000462473,6.072224358
Tgfb1,1.552207473,6.611127858,16.25277186,1.70E-06,0.000469896,6.035906783
Lyz1,3.222377474,9.450036768,16.08863671,1.81E-06,0.00048189,5.973271917
Tlr2,1.508377172,6.616739705,16.0311931,1.85E-06,0.00048189,5.951161845
Ifi202b,2.750813382,4.321080727,15.85105962,1.99E-06,0.000497772,5.88118254
C3ar1,1.556887488,7.005645655,15.65450461,2.16E-06,0.000518776,5.803688258
Gusb,2.176450647,7.185059411,15.4353814,2.36E-06,0.000556903,5.715867988
Npl,1.718519567,6.644092994,15.39152737,2.40E-06,0.000556903,5.698108191
Ch25h,2.184605298,6.663020463,15.23898292,2.56E-06,0.000572686,5.635845974
Lpl,3.245987419,7.320043717,15.08581144,2.73E-06,0.000582953,5.572558843
Emp1,2.560239645,7.260529272,15.07556447,2.74E-06,0.000582953,5.568297185
Socs3,3.666311552,6.825091369,15.02026585,2.80E-06,0.000587034,5.545238037
Ifi30,1.527975443,7.802217011,14.92239072,2.92E-06,0.000602093,5.5041719
Laptm5,2.409433372,8.771198808,14.54898574,3.43E-06,0.000695576,5.344469947
Rbp1,2.28100795,8.527549985,14.43757059,3.60E-06,0.000718923,5.295867192
Arpc1b,2.157388301,8.436984525,14.35444249,3.73E-06,0.000730411,5.25931281
Slc14a1,1.845169642,8.312752041,14.0888432,4.20E-06,0.000801766,5.140819887
Ptprc,2.543988527,6.92716776,13.98759215,4.39E-06,0.00082688,5.09495433
Tgfbi,1.694713472,8.621198571,13.76848045,4.85E-06,0.000875222,4.99435615
Sh3bp2,1.565887783,5.260311072,13.71651104,4.97E-06,0.000875222,4.970222342
Aif1,2.431765617,6.419013794,13.70873388,4.98E-06,0.000875222,4.966601618
Lgals3bp,2.181440329,8.401195302,13.61753398,5.20E-06,0.000900584,4.923964181
Hbegf,2.127464772,8.354505072,13.56944673,5.32E-06,0.000903764,4.901349342
C1qb,3.028191518,9.42170517,13.55306578,5.36E-06,0.000903764,4.893624438
Rnase4,1.614768089,8.301687642,13.52217627,5.43E-06,0.000905068,4.879028249
Apbb1ip,1.676937723,5.501784115,13.41153964,5.72E-06,0.000929189,4.826432331
S100a4,3.044103739,8.574339533,13.37005388,5.83E-06,0.000929189,4.806581565
Cebpd,3.090046342,7.939769637,13.34119262,5.91E-06,0.000929189,4.792729847
Timp1,2.218122793,7.230305407,13.1184715,6.57E-06,0.000970444,4.684670819
Tspo,1.76456878,7.325432934,12.96006747,7.09E-06,0.001011809,4.606538563
Ctsh,2.268441703,8.184895633,12.93942667,7.16E-06,0.001011809,4.596277944
Slc11a1,1.520371391,7.099267149,12.8697938,7.41E-06,0.001035363,4.561526323
Ccnd1,1.731021942,9.270500097,12.64365496,8.28E-06,0.00110924,4.44719083
Tnc,1.93514024,6.461132111,12.57425343,8.57E-06,0.001124543,4.411641431
Vim,2.245532318,11.134966,12.55834623,8.64E-06,0.001124543,4.403462466
Itgax,3.501407889,7.637475855,12.55474778,8.65E-06,0.001124543,4.401610653
Il2rg,2.508826735,5.234475537,12.41502249,9.28E-06,0.001162985,4.329245796
P2ry6,2.426376644,5.48204232,12.30303439,9.82E-06,0.001181801,4.27059078
Atf3,3.103657954,7.293484154,12.1105823,1.08E-05,0.001292098,4.168402101
Rab29,1.573514431,8.125038834,12.09156168,1.09E-05,0.001292971,4.158205672
Cd44,2.299604673,8.580096491,11.83392173,1.25E-05,0.001405016,4.018339579
S100a6,2.04496535,10.55596651,11.80358997,1.27E-05,0.001412714,4.001655457
Igfbp2,2.045850825,9.821931995,11.78514755,1.28E-05,0.001414117,3.991488371
Nid2,1.967586625,5.733101537,11.73254563,1.32E-05,0.001422755,3.962394613
Thbs2,1.816060721,8.216083499,11.71053661,1.34E-05,0.001422755,3.950179678
Ccl6,2.474522632,6.354972192,11.6855987,1.35E-05,0.001422755,3.936309209
Anxa3,2.241790527,9.306156454,11.68063622,1.36E-05,0.001422755,3.933545263
Plscr2,2.13351108,5.405294216,11.63238106,1.39E-05,0.001439691,3.906602429
Ggta1,1.943433164,7.14431188,11.45667488,1.53E-05,0.001502267,3.80747267
Sgpl1,1.976742979,6.962716501,11.26058142,1.70E-05,0.00162872,3.69490235
Fabp7,1.542605905,10.64971999,11.18187617,1.78E-05,0.001640814,3.649133011
Ctsc,1.940533347,7.86667029,11.09011042,1.87E-05,0.001668933,3.595336232
Capg,2.374740676,7.593335948,10.98620863,1.99E-05,0.00169994,3.533855427
Ckap2,1.652918675,5.118448086,10.50076525,2.63E-05,0.00205554,3.238324816
Nupr1,2.718952207,8.405427565,10.35804891,2.86E-05,0.002133521,3.148750178
Hk2,1.700623865,6.431142975,10.31185651,2.94E-05,0.002143748,3.11948709
Kcne1l,1.747070581,6.839374192,10.13917779,3.26E-05,0.002288309,3.008899732
Mylk,1.847066172,8.325139454,9.895363894,3.78E-05,0.00249502,2.849469425
Soat1,1.542241872,7.42881322,9.772399867,4.08E-05,0.002604982,2.767562534
Il1r1,2.003336609,5.685122619,9.75002796,4.14E-05,0.002624982,2.752550138
