"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gpnmb",6.92709814074466,9.52527717422318,42.932089567445,7.37285073679779e-10,8.84604623824427e-06,12.2330763463519
"Serpina3n",4.20427789079946,10.0466810552655,38.6520242081046,1.55240606306275e-09,8.84604623824427e-06,11.8081299958623
"Lgals3",5.00129031899191,10.2503144108435,37.1840014699827,2.04249509079757e-09,8.84604623824427e-06,11.6403892746652
"Ptx3",4.70824364973296,8.33165025527958,34.443876205727,3.51232873207662e-09,9.3562624354212e-06,11.2914712648221
"Fcgr2b",3.70896706208266,7.74305131157846,34.3234514813199,3.60050120658093e-09,9.3562624354212e-06,11.2749632552516
"Lyz1",3.80540952952303,9.79711268959723,29.9155878707734,9.51899374975988e-09,2.03998841545316e-05,10.5907301524365
"Igfbpl1",4.32604690407406,7.68670187293522,29.3131816665714,1.09904709521836e-08,2.03998841545316e-05,10.4836152985591
"Ctss",2.38231582544144,11.0007184989263,26.4140076027336,2.29242398200904e-08,3.72318309978043e-05,9.91302685630062
"Cebpd",4.03832379797201,8.44926358363838,25.1149270880838,3.27115342090976e-08,4.32186854640457e-05,9.62401601377296
"C1qa",2.67000417708362,10.7615463866225,25.0208833612635,3.35877521300895e-08,4.32186854640457e-05,9.6022024156226
"C1qb",3.48814316098213,9.65908278212005,24.7187188202612,3.65893588935968e-08,4.32186854640457e-05,9.53126375430129
"Lyz2",4.08086017690704,10.0505110982665,23.4942688131528,5.23228686034835e-08,5.40387038000829e-05,9.22992393053328
"Chodl",-2.91255859685318,6.89992396658227,-23.3849806635808,5.40678172401353e-08,5.40387038000829e-05,9.20189714964996
"Hpgd",2.97667440764112,8.71854478187531,22.3880303173989,7.34500863386435e-08,6.81669265569996e-05,8.93711275943067
"Tmem176a",2.22362323088914,8.96305879362514,22.0905300126256,8.06897006103413e-08,6.91683559009811e-05,8.85478723270232
"Tyrobp",3.4983652166638,9.83079656526491,21.7916560301355,8.87923351233928e-08,6.91683559009811e-05,8.77047882924473
"C1qc",3.3758621392749,10.159786135212,21.7326407387863,9.04996575322619e-08,6.91683559009811e-05,8.75363788540216
"Il2rg",2.28361654528127,5.41937857542665,21.531039962655,9.66203792954848e-08,6.97438104547908e-05,8.69561873432971
"Dhrs1",2.47085788783883,10.2374114955704,20.8560341097958,1.20823796840737e-07,8.26243995974576e-05,8.49569514875096
"A2m",2.82183858599939,9.92473432091092,20.4921002375544,1.36700546239831e-07,8.88075098647064e-05,8.38415226868793
"Atf3",3.7824977358658,7.74288730161155,20.2582023291453,1.48156277512896e-07,9.16664054154789e-05,8.31102306742239
"Cebpa",2.25813745747037,8.42059656846557,20.0495983222034,1.5930230961956e-07,9.40824958584976e-05,8.24482722624314
"Cd68",3.99798839802488,8.2419836021864,19.8646043441028,1.6999084578625e-07,9.60300460565541e-05,8.18533966679632
"H2-K1",1.95290083266801,9.68569621338919,19.5723373482844,1.88584496016815e-07,0.000102094931531103,8.08982329861434
"Sh3bp2",2.27547439652413,5.6733989247374,19.2981231171108,2.08160398502711e-07,0.000104891652012112,7.99845868453022
"Laptm5",2.50667887117172,8.87927842332761,19.1575969429646,2.19082591830881e-07,0.000104891652012112,7.95096667096946
"Timp1",3.0931133987244,7.29735321474603,19.1219767397957,2.2195378176621e-07,0.000104891652012112,7.93885530684297
"Man2b1",2.18081434932177,9.9357143619561,19.0721505182388,2.26042196285625e-07,0.000104891652012112,7.92186366349077
"Fcgr3",3.18848845695375,8.16400110338832,18.8526902771143,2.45100209874736e-07,0.000109813345755257,7.84632243826235
"Angptl4",2.55360236170003,7.06191332810461,18.3809114014797,2.9259818961349e-07,0.000121496366230767,7.67996646066897
"Vim",2.25894001420565,11.6164100197196,18.3522977854848,2.95800130186126e-07,0.000121496366230767,7.66969880114073
"Slc14a1",2.1768836723096,8.49921174500227,18.3220435573438,2.9922910177669e-07,0.000121496366230767,7.65881989076683
"Socs3",4.18656883757915,7.33406560712465,18.2038102554451,3.13070245668173e-07,0.000123264293998987,7.61608174339275
"Mpeg1",3.96582460512429,9.00623215949211,18.0177428468789,3.36354071742565e-07,0.00012853671923974,7.54809478681943
"Pros1",1.97386613147914,8.70681887069636,17.8336997494233,3.61342104119016e-07,0.00013138031259634,7.47995668204134
"Bcl3",4.04443227092122,6.68916700923561,17.8148508229564,3.64018414028188e-07,0.00013138031259634,7.47292759875454
"Ctsh",2.72508352150745,8.58607478044872,17.6431213348356,3.89468729825199e-07,0.000136766681259968,7.40844774142761
"Gusb",2.67695174568102,7.49595522456627,17.4721235231217,4.16841195890925e-07,0.000142526780479231,7.34344681807892
"Rnase4",1.5705988470844,8.69475400071166,17.1825596325163,4.68337959551306e-07,0.000155225281807389,7.23152558405618
"Lgals3bp",2.53597643581926,8.74750021100863,17.0979688905452,4.84721397057165e-07,0.000155225281807389,7.1983825463932
"Cd53",2.84769107550611,7.82881011423791,17.0723036690405,4.89820407458088e-07,0.000155225281807389,7.18828625070732
"Chl1",2.47575063418005,6.84273751248762,16.9031711718317,5.24989618920048e-07,0.000162409288538766,7.12127552854139
"Sh3bgr",-1.73207691490234,7.99519184178709,-16.7488549595966,5.59601837652245e-07,0.000168744471874764,7.05940412144841
"Cd52",3.30080844240374,7.66335674756466,16.6555439457938,5.81787700132189e-07,0.000168744471874764,7.02164875813217
"Osmr",3.09636406274315,8.23685948731634,16.6447003773398,5.84430172736426e-07,0.000168744471874764,7.01724431556783
"Ccl6",2.19150464605986,6.7272442588244,16.5098542046524,6.18457544858984e-07,0.000174687366964191,6.96217541733001
"Plscr2",2.62589521186986,5.61812079052608,16.4508404608077,6.34053902763256e-07,0.000175282177842617,6.93790095769679
