,logFC,AveExpr,t,P.Value,adj.P.Val,B
Gpnmb,6.927098141,9.525277174,42.93208957,7.37E-10,8.85E-06,12.23307635
Serpina3n,4.204277891,10.04668106,38.65202421,1.55E-09,8.85E-06,11.80813
Lgals3,5.001290319,10.25031441,37.18400147,2.04E-09,8.85E-06,11.64038927
Ptx3,4.70824365,8.331650255,34.44387621,3.51E-09,9.36E-06,11.29147126
Fcgr2b,3.708967062,7.743051312,34.32345148,3.60E-09,9.36E-06,11.27496326
Lyz1,3.80540953,9.79711269,29.91558787,9.52E-09,2.04E-05,10.59073015
Igfbpl1,4.326046904,7.686701873,29.31318167,1.10E-08,2.04E-05,10.4836153
Ctss,2.382315825,11.0007185,26.4140076,2.29E-08,3.72E-05,9.913026856
Cebpd,4.038323798,8.449263584,25.11492709,3.27E-08,4.32E-05,9.624016014
C1qa,2.670004177,10.76154639,25.02088336,3.36E-08,4.32E-05,9.602202416
C1qb,3.488143161,9.659082782,24.71871882,3.66E-08,4.32E-05,9.531263754
Lyz2,4.080860177,10.0505111,23.49426881,5.23E-08,5.40E-05,9.229923931
Chodl,-2.912558597,6.899923967,-23.38498066,5.41E-08,5.40E-05,9.20189715
Hpgd,2.976674408,8.718544782,22.38803032,7.35E-08,6.82E-05,8.937112759
Tmem176a,2.223623231,8.963058794,22.09053001,8.07E-08,6.92E-05,8.854787233
Tyrobp,3.498365217,9.830796565,21.79165603,8.88E-08,6.92E-05,8.770478829
C1qc,3.375862139,10.15978614,21.73264074,9.05E-08,6.92E-05,8.753637885
Il2rg,2.283616545,5.419378575,21.53103996,9.66E-08,6.97E-05,8.695618734
Dhrs1,2.470857888,10.2374115,20.85603411,1.21E-07,8.26E-05,8.495695149
A2m,2.821838586,9.924734321,20.49210024,1.37E-07,8.88E-05,8.384152269
Atf3,3.782497736,7.742887302,20.25820233,1.48E-07,9.17E-05,8.311023067
Cebpa,2.258137457,8.420596568,20.04959832,1.59E-07,9.41E-05,8.244827226
Cd68,3.997988398,8.241983602,19.86460434,1.70E-07,9.60E-05,8.185339667
H2-K1,1.952900833,9.685696213,19.57233735,1.89E-07,0.000102095,8.089823299
Sh3bp2,2.275474397,5.673398925,19.29812312,2.08E-07,0.000104892,7.998458685
Laptm5,2.506678871,8.879278423,19.15759694,2.19E-07,0.000104892,7.950966671
Timp1,3.093113399,7.297353215,19.12197674,2.22E-07,0.000104892,7.938855307
Man2b1,2.180814349,9.935714362,19.07215052,2.26E-07,0.000104892,7.921863663
Fcgr3,3.188488457,8.164001103,18.85269028,2.45E-07,0.000109813,7.846322438
Angptl4,2.553602362,7.061913328,18.3809114,2.93E-07,0.000121496,7.679966461
