,logFC,AveExpr,t,P.Value,adj.P.Val,B
Cst7,7.685895657,-2.385889992,14.49537607,1.78E-06,0.023164547,3.914108228
Mos,1.562604126,2.639161846,12.39345735,5.14E-06,0.033408259,3.42228302
Tnfsf14,1.952125421,4.231245875,10.60400549,1.46E-05,0.056767482,2.852389732
Serpina1b,2.741070672,6.049293114,5.913017012,0.000592919,0.19053036,0.167426705
Pip4k2b,7.144701265,-2.322449078,5.790452194,0.000671431,0.19053036,0.062129292
Casp14,-1.616495284,2.696910981,-4.937612878,0.001682445,0.210192346,-0.738520608
Pmaip1,-1.785687987,5.027322318,-3.786269515,0.006843314,0.288039205,-2.021856217
2610005L07Rik,1.548969258,10.12266218,3.691952061,0.007744457,0.303999193,-2.137429029
Csnk1g1,-1.571800194,5.293376096,-3.430576558,0.010986262,0.332753149,-2.465410675
Tmem45b,2.367622794,6.292509389,3.378239719,0.011797027,0.333965663,-2.532384015
Aqp1,1.586876516,6.158055869,3.268729991,0.013709267,0.337378755,-2.673836178
Ccdc25,-1.541135182,4.588219013,-3.139119907,0.016411434,0.355203931,-2.843424997
Ngfr,1.633469551,7.440999886,3.13390136,0.016531513,0.355203931,-2.850299799
Scn10a,1.698164405,5.824795617,2.986036221,0.020353737,0.372473396,-3.046473371
Fxyd2,4.406344575,7.273049982,2.956200098,0.021233052,0.375227633,-3.086360026
Scn11a,3.37249046,6.568807021,2.941738917,0.021673632,0.375227633,-3.105726427
Gzmd,6.115961078,-1.0373904,2.855969196,0.024493233,0.382739082,-3.221016232
Avil,3.120247705,6.341116779,2.85253287,0.024613964,0.382739082,-3.225649686
Krtap9-3,1.676170789,1.990520555,2.788741971,0.026972609,0.391124624,-3.311847709
Gdnf,5.840079082,-0.83715566,2.786432193,0.027062344,0.391124624,-3.314975069
Lpar3,1.663302641,5.66745054,2.457590597,0.043638173,0.441415618,-3.763295029
Kcnj9,-1.966803171,5.720252754,-2.457103857,0.043669313,0.441415618,-3.763961234
Cylc1,-3.72938302,0.917047809,-2.381860792,0.048768418,0.452312085,-3.866946717
